ID,OC,TRT,TRT ORD,RT,RT/Ln+1,RT/Log10+1
1,1,F,1,,,
1,2,F,1,46,3.850147602,1.672097858
1,3,F,1,46,3.850147602,1.672097858
1,4,F,1,54,4.007333185,1.740362689
1,5,F,1,50,3.931825633,1.707570176
1,6,F,1,56,4.043051268,1.755874856
1,7,F,1,45,3.828641396,1.662757832
1,8,F,1,43,3.784189634,1.643452676
1,1,S,1,43,3.784189634,1.643452676
1,2,S,1,10,2.397895273,1.041392685
1,3,S,1,12,2.564949357,1.113943352
1,4,S,1,20,3.044522438,1.322219295
1,5,S,1,7,2.079441542,0.903089987
1,6,S,1,23,3.17805383,1.380211242
1,7,S,1,8,2.197224577,0.954242509
1,8,S,1,,,
2,1,F,1,,,
2,2,F,1,57,4.060443011,1.763427994
2,3,F,1,73,4.304065093,1.86923172
2,4,F,1,55,4.025351691,1.748188027
2,5,F,1,68,4.234106505,1.838849091
2,6,F,1,51,3.951243719,1.716003344
2,7,F,1,41,3.737669618,1.62324929
2,8,F,1,51,3.951243719,1.716003344
2,1,S,1,41,3.737669618,1.62324929
2,2,S,1,18,2.944438979,1.278753601
2,3,S,1,48,3.891820298,1.69019608
2,4,S,1,51,3.951243719,1.716003344
2,5,S,1,21,3.091042453,1.342422681
2,6,S,1,32,3.496507561,1.51851394
2,7,S,1,16,2.833213344,1.230448921
2,8,S,1,,,
3,1,F,1,,,
3,2,F,1,45,3.828641396,1.662757832
3,3,F,1,24,3.218875825,1.397940009
3,4,F,1,64,4.17438727,1.812913357
3,5,F,1,21,3.091042453,1.342422681
3,6,F,1,46,3.850147602,1.672097858
3,7,F,1,62,4.143134726,1.799340549
3,8,F,1,56,4.043051268,1.755874856
3,1,S,1,34,3.555348061,1.544068044
3,2,S,1,45,3.828641396,1.662757832
3,3,S,1,29,3.401197382,1.477121255
3,4,S,1,14,2.708050201,1.176091259
3,5,S,1,40,3.713572067,1.612783857
3,6,S,1,18,2.944438979,1.278753601
3,7,S,1,12,2.564949357,1.113943352
3,8,S,1,,,
4,1,F,1,,,
4,2,F,1,62,4.143134726,1.799340549
4,3,F,1,19,2.995732274,1.301029996
4,4,F,1,37,3.63758616,1.579783597
4,5,F,1,22,3.135494216,1.361727836
4,6,F,1,58,4.077537444,1.770852012
4,7,F,1,44,3.80666249,1.653212514
4,8,F,1,36,3.610917913,1.568201724
4,1,S,1,22,3.135494216,1.361727836
4,2,S,1,44,3.80666249,1.653212514
4,3,S,1,31,3.465735903,1.505149978
4,4,S,1,25,3.258096538,1.414973348
4,5,S,1,21,3.091042453,1.342422681
4,6,S,1,28,3.36729583,1.462397998
4,7,S,1,21,3.091042453,1.342422681
4,8,S,1,,,
5,1,F,1,,,
5,2,F,1,58,4.077537444,1.770852012
5,3,F,1,48,3.891820298,1.69019608
5,4,F,1,67,4.219507705,1.832508913
5,5,F,1,41,3.737669618,1.62324929
5,6,F,1,73,4.304065093,1.86923172
5,7,F,1,37,3.63758616,1.579783597
5,8,F,1,23,3.17805383,1.380211242
5,1,S,1,44,3.80666249,1.653212514
5,2,S,1,45,3.828641396,1.662757832
5,3,S,1,53,3.988984047,1.73239376
5,4,S,1,24,3.218875825,1.397940009
5,5,S,1,65,4.189654742,1.819543936
5,6,S,1,22,3.135494216,1.361727836
5,7,S,1,22,3.135494216,1.361727836
5,8,S,1,,,
6,1,F,1,,,
6,2,F,1,78,4.369447852,1.897627091
6,3,F,1,87,4.477336814,1.944482672
6,4,F,1,56,4.043051268,1.755874856
6,5,F,1,61,4.127134385,1.792391689
6,6,F,1,61,4.127134385,1.792391689
6,7,F,1,22,3.135494216,1.361727836
6,8,F,1,36,3.610917913,1.568201724
6,1,S,1,61,4.127134385,1.792391689
6,2,S,1,11,2.48490665,1.079181246
6,3,S,1,14,2.708050201,1.176091259
6,4,S,1,47,3.871201011,1.681241237
6,5,S,1,27,3.33220451,1.447158031
6,6,S,1,23,3.17805383,1.380211242
6,7,S,1,24,3.218875825,1.397940009
6,8,S,1,,,
7,1,F,1,,,
7,2,F,1,75,4.33073334,1.880813592
7,3,F,1,55,4.025351691,1.748188027
7,4,F,1,78,4.369447852,1.897627091
7,5,F,1,51,3.951243719,1.716003344
7,6,F,1,15,2.772588722,1.204119983
7,7,F,1,51,3.951243719,1.716003344
7,8,F,1,29,3.401197382,1.477121255
7,1,S,1,79,4.382026635,1.903089987
7,2,S,1,33,3.526360525,1.531478917
7,3,S,1,48,3.891820298,1.69019608
7,4,S,1,70,4.262679877,1.851258349
7,5,S,1,21,3.091042453,1.342422681
7,6,S,1,37,3.63758616,1.579783597
7,7,S,1,52,3.970291914,1.72427587
7,8,S,1,,,
8,1,F,1,,,
8,2,F,1,58,4.077537444,1.770852012
8,3,F,1,64,4.17438727,1.812913357
8,4,F,1,17,2.890371758,1.255272505
8,5,F,1,14,2.708050201,1.176091259
8,6,F,1,79,4.382026635,1.903089987
8,7,F,1,32,3.496507561,1.51851394
8,8,F,1,53,3.988984047,1.73239376
8,1,S,1,21,3.091042453,1.342422681
8,2,S,1,23,3.17805383,1.380211242
8,3,S,1,,,
8,4,S,1,10,2.397895273,1.041392685
8,5,S,1,,,
8,6,S,1,5,1.791759469,0.77815125
8,7,S,1,20,3.044522438,1.322219295
8,8,S,1,,,
9,1,F,1,,,
9,2,F,1,23,3.17805383,1.380211242
9,3,F,1,58,4.077537444,1.770852012
9,4,F,1,59,4.094344562,1.77815125
9,5,F,1,29,3.401197382,1.477121255
9,6,F,1,19,2.995732274,1.301029996
9,7,F,1,19,2.995732274,1.301029996
9,8,F,1,20,3.044522438,1.322219295
9,1,S,1,15,2.772588722,1.204119983
9,2,S,1,75,4.33073334,1.880813592
9,3,S,1,23,3.17805383,1.380211242
9,4,S,1,15,2.772588722,1.204119983
9,5,S,1,23,3.17805383,1.380211242
9,6,S,1,20,3.044522438,1.322219295
9,7,S,1,28,3.36729583,1.462397998
9,8,S,1,,,
10,1,F,1,,,
10,2,F,1,17,2.890371758,1.255272505
10,3,F,1,36,3.610917913,1.568201724
10,4,F,1,24,3.218875825,1.397940009
10,5,F,1,55,4.025351691,1.748188027
10,6,F,1,22,3.135494216,1.361727836
10,7,F,1,23,3.17805383,1.380211242
10,8,F,1,58,4.077537444,1.770852012
10,1,S,1,35,3.583518938,1.556302501
10,2,S,1,7,2.079441542,0.903089987
10,3,S,1,,,
10,4,S,1,22,3.135494216,1.361727836
10,5,S,1,8,2.197224577,0.954242509
10,6,S,1,17,2.890371758,1.255272505
10,7,S,1,17,2.890371758,1.255272505
10,8,S,1,,,
11,1,F,2,20,3.044522438,1.322219295
11,2,F,2,15,2.772588722,1.204119983
11,3,F,2,17,2.890371758,1.255272505
11,4,F,2,19,2.995732274,1.301029996
11,5,F,2,17,2.890371758,1.255272505
11,6,F,2,15,2.772588722,1.204119983
11,7,F,2,22,3.135494216,1.361727836
11,8,F,2,,,
11,1,S,2,50,3.931825633,1.707570176
11,2,S,2,52,3.970291914,1.72427587
11,3,S,2,46,3.850147602,1.672097858
11,4,S,2,25,3.258096538,1.414973348
11,5,S,2,19,2.995732274,1.301029996
11,6,S,2,17,2.890371758,1.255272505
11,7,S,2,15,2.772588722,1.204119983
11,8,S,2,24,3.218875825,1.397940009
12,1,F,2,24,3.218875825,1.397940009
12,2,F,2,23,3.17805383,1.380211242
12,3,F,2,35,3.583518938,1.556302501
12,4,F,2,14,2.708050201,1.176091259
12,5,F,2,14,2.708050201,1.176091259
12,6,F,2,17,2.890371758,1.255272505
12,7,F,2,10,2.397895273,1.041392685
12,8,F,2,,,
12,1,S,2,15,2.772588722,1.204119983
12,2,S,2,49,3.912023005,1.698970004
12,3,S,2,49,3.912023005,1.698970004
12,4,S,2,25,3.258096538,1.414973348
12,5,S,2,29,3.401197382,1.477121255
12,6,S,2,15,2.772588722,1.204119983
12,7,S,2,70,4.262679877,1.851258349
12,8,S,2,70,4.262679877,1.851258349
13,1,F,2,95,4.564348191,1.982271233
13,2,F,2,73,4.304065093,1.86923172
13,3,F,2,30,3.433987204,1.491361694
13,4,F,2,51,3.951243719,1.716003344
13,5,F,2,24,3.218875825,1.397940009
13,6,F,2,46,3.850147602,1.672097858
13,7,F,2,48,3.891820298,1.69019608
13,8,F,2,,,
13,1,S,2,231,5.446737372,2.365487985
13,2,S,2,177,5.18178355,2.250420002
13,3,S,2,24,3.218875825,1.397940009
13,4,S,2,81,4.406719247,1.913813852
13,5,S,2,28,3.36729583,1.462397998
13,6,S,2,23,3.17805383,1.380211242
13,7,S,2,16,2.833213344,1.230448921
13,8,S,2,29,3.401197382,1.477121255
14,1,F,2,47,3.871201011,1.681241237
14,2,F,2,53,3.988984047,1.73239376
14,3,F,2,26,3.295836866,1.431363764
14,4,F,2,22,3.135494216,1.361727836
14,5,F,2,26,3.295836866,1.431363764
14,6,F,2,23,3.17805383,1.380211242
14,7,F,2,21,3.091042453,1.342422681
14,8,F,2,,,
14,1,S,2,35,3.583518938,1.556302501
14,2,S,2,42,3.761200116,1.633468456
14,3,S,2,42,3.761200116,1.633468456
14,4,S,2,41,3.737669618,1.62324929
14,5,S,2,22,3.135494216,1.361727836
14,6,S,2,43,3.784189634,1.643452676
14,7,S,2,24,3.218875825,1.397940009
14,8,S,2,62,4.143134726,1.799340549
15,1,F,2,25,3.258096538,1.414973348
15,2,F,2,40,3.713572067,1.612783857
15,3,F,2,29,3.401197382,1.477121255
15,4,F,2,42,3.761200116,1.633468456
15,5,F,2,42,3.761200116,1.633468456
15,6,F,2,41,3.737669618,1.62324929
15,7,F,2,39,3.688879454,1.602059991
15,8,F,2,,,
15,1,S,2,44,3.80666249,1.653212514
15,2,S,2,45,3.828641396,1.662757832
15,3,S,2,44,3.80666249,1.653212514
15,4,S,2,39,3.688879454,1.602059991
15,5,S,2,29,3.401197382,1.477121255
15,6,S,2,6,1.945910149,0.84509804
15,7,S,2,24,3.218875825,1.397940009
15,8,S,2,51,3.951243719,1.716003344
16,1,F,2,33,3.526360525,1.531478917
16,2,F,2,67,4.219507705,1.832508913
16,3,F,2,60,4.110873864,1.785329835
16,4,F,2,54,4.007333185,1.740362689
16,5,F,2,59,4.094344562,1.77815125
16,6,F,2,45,3.828641396,1.662757832
16,7,F,2,16,2.833213344,1.230448921
16,8,F,2,,,
16,1,S,2,11,2.48490665,1.079181246
16,2,S,2,33,3.526360525,1.531478917
16,3,S,2,103,4.644390899,2.017033339
16,4,S,2,14,2.708050201,1.176091259
16,5,S,2,19,2.995732274,1.301029996
16,6,S,2,23,3.17805383,1.380211242
16,7,S,2,94,4.553876892,1.977723605
16,8,S,2,24,3.218875825,1.397940009
17,1,F,2,52,3.970291914,1.72427587
17,2,F,2,56,4.043051268,1.755874856
17,3,F,2,38,3.663561646,1.591064607
17,4,F,2,61,4.127134385,1.792391689
17,5,F,2,44,3.80666249,1.653212514
17,6,F,2,51,3.951243719,1.716003344
17,7,F,2,26,3.295836866,1.431363764
17,8,F,2,,,
17,1,S,2,19,2.995732274,1.301029996
17,2,S,2,34,3.555348061,1.544068044
17,3,S,2,25,3.258096538,1.414973348
17,4,S,2,37,3.63758616,1.579783597
17,5,S,2,7,2.079441542,0.903089987
17,6,S,2,23,3.17805383,1.380211242
17,7,S,2,31,3.465735903,1.505149978
17,8,S,2,63,4.158883083,1.806179974
18,1,F,2,18,2.944438979,1.278753601
18,2,F,2,22,3.135494216,1.361727836
18,3,F,2,24,3.218875825,1.397940009
18,4,F,2,41,3.737669618,1.62324929
18,5,F,2,47,3.871201011,1.681241237
18,6,F,2,19,2.995732274,1.301029996
18,7,F,2,49,3.912023005,1.698970004
18,8,F,2,,,
18,1,S,2,52,3.970291914,1.72427587
18,2,S,2,36,3.610917913,1.568201724
18,3,S,2,64,4.17438727,1.812913357
18,4,S,2,14,2.708050201,1.176091259
18,5,S,2,24,3.218875825,1.397940009
18,6,S,2,11,2.48490665,1.079181246
18,7,S,2,31,3.465735903,1.505149978
18,8,S,2,20,3.044522438,1.322219295
19,1,F,2,19,2.995732274,1.301029996
19,2,F,2,6,1.945910149,0.84509804
19,3,F,2,11,2.48490665,1.079181246
19,4,F,2,14,2.708050201,1.176091259
19,5,F,2,15,2.772588722,1.204119983
19,6,F,2,8,2.197224577,0.954242509
19,7,F,2,6,1.945910149,0.84509804
19,8,F,2,,,
19,1,S,2,150,5.017279837,2.178976947
19,2,S,2,31,3.465735903,1.505149978
19,3,S,2,27,3.33220451,1.447158031
19,4,S,2,42,3.761200116,1.633468456
19,5,S,2,25,3.258096538,1.414973348
19,6,S,2,34,3.555348061,1.544068044
19,7,S,2,16,2.833213344,1.230448921
19,8,S,2,8,2.197224577,0.954242509
